fixture,visit,dart,thrown,camera,frame,x1,y1,x2,y2,tip_x,tip_y,note
rig-20260918,1,1,T13,1,510,543,120,559,228,561,238,
rig-20260918,1,1,T13,2,510,547,265,567,392,573,415,
rig-20260918,1,1,T13,3,510,885,145,864,265,863,271,
rig-20260918,1,2,19,1,550,766,152,755,275,753,278,
rig-20260918,1,2,19,2,550,530,107,538,152,,,tip occluded behind dart 1's flight; line from flight neck + visible shaft
rig-20260918,1,2,19,3,550,698,215,684,300,677,352,needle crosses the bull visually; entry read where the point meets the board
rig-20260918,1,3,13,1,600,637,152,626,278,627,280,
rig-20260918,1,3,13,2,600,584,228,602,308,607,322,
rig-20260918,1,3,13,3,600,779,185,761,292,758,305,
rig-20260918,2,1,19,1,715,759,180,764,292,762,292,
rig-20260918,2,1,19,2,715,565,140,570,248,569,252,
rig-20260918,2,1,19,3,715,659,205,664,340,663,357,
rig-20260918,2,2,T14,1,748,727,265,737,415,737,427,
rig-20260918,2,2,T14,2,748,728,120,731,214,730,218,
rig-20260918,2,2,T14,3,748,531,162,536,268,535,280,
rig-20260918,2,3,5,1,795,508,250,532,420,533,433,
rig-20260918,2,3,5,2,795,831,170,832,290,831,293,
rig-20260918,2,3,5,3,795,650,86,660,124,,,deeply occluded behind dart 1's flight; short visible baseline; tip unreadable
rig-20260918,3,1,10,1,925,610,88,627,225,628,231,
rig-20260918,3,1,10,2,925,408,258,452,380,456,390,
rig-20260918,3,1,10,3,925,943,205,915,310,911,323,
rig-20260918,3,2,7,1,955,892,170,906,285,908,291,
rig-20260918,3,2,7,2,955,508,95,558,185,564,197,
rig-20260918,3,2,7,3,955,580,300,529,412,525,417,
rig-20260918,3,3,T20,1,995,512,215,528,375,529,381,
rig-20260918,3,3,T20,2,995,762,215,793,322,798,332,
rig-20260918,3,3,T20,3,985,700,140,676,206,673,210,f985 used because the thrower's arm covers this camera from ~f990
rig-20260918,4,1,19,1,1105,883,175,871,290,869,297,
rig-20260918,4,1,19,2,1105,487,78,512,190,516,197,
rig-20260918,4,1,19,3,1105,600,300,605,430,605,450,
rig-20260918,4,2,20,1,1130,463,240,474,380,475,392,
rig-20260918,4,2,20,2,1130,827,210,836,350,835,358,
rig-20260918,4,2,20,3,1130,700,107,675,200,672,210,
rig-20260918,4,3,miss,1,1150,820,370,792,525,789,537,thrown miss; came to rest stuck in the black rim below the double ring -- no scoring event
rig-20260918,4,3,miss,2,1150,787,62,801,108,,,thrown miss; rests against dart 2's flight off the board plane; entry point does not exist
rig-20260918,4,3,miss,3,1150,407,155,413,225,,,thrown miss; rests on the surround left of the board; entry point does not exist
rig-20260918,5,1,15,1,1315,696,110,686,220,684,232,
rig-20260918,5,1,15,2,1315,420,180,450,320,458,335,
rig-20260918,5,1,15,3,1315,868,230,852,340,848,357,
rig-20260918,5,2,4,1,1340,462,140,477,268,480,277,
rig-20260918,5,2,4,2,1340,653,340,683,440,686,452,
rig-20260918,5,2,4,3,1340,855,150,835,219,,,lower shaft and tip occluded behind dart 1's flight
rig-20260918,5,3,18,1,1368,444,165,459,300,461,312,lands beside dart 2 -- adjacent-dart overlap case
rig-20260918,5,3,18,2,1368,727,290,746,425,748,437,
rig-20260918,5,3,18,3,1368,820,105,792,218,789,224,shaft image slightly bowed; line through red shaft and needle
rig-20260918,6,2,7,1,1530,1028,325,1014,460,1012,472,dart leans far out of plane at the right rim
rig-20260918,6,2,7,2,1530,690,35,694,118,,,enters at the top rim; the point is hidden behind the rim from this camera
rig-20260918,6,2,7,3,1530,303,215,322,318,325,332,flight hangs over the surround; steep out-of-plane lean
rig-20260918,6,3,2,1,1610,724,80,716,168,,,entry hidden behind the retrieving hand; line from the visible shaft above and below it
rig-20260918,6,3,2,2,1610,513,25,543,148,546,160,enters near the top rim
rig-20260918,6,3,2,3,1610,450,310,472,415,475,428,
rig-20260918,7,1,5,1,1745,466,275,456,420,453,438,
rig-20260918,7,1,5,2,1745,861,185,881,320,884,343,
rig-20260918,7,1,5,3,1745,642,110,650,185,652,195,
rig-20260918,7,2,20,1,1775,415,250,434,385,438,402,
rig-20260918,7,2,20,2,1775,856,242,865,345,868,358,lands touching dart 1 -- adjacent-dart overlap case
rig-20260918,7,2,20,3,1775,697,100,699,185,698,206,
